,Organization Name,Industries,Headquarters Location,Description,CB Rank (Company),Monthly Visits,Operating Status,Closed Date,Website,Twitter,LinkedIn,Founders,Acquisition Status,Acquired by
0,Applied Intuition,"Autonomous Vehicles, Enterprise Software, Infrastructure, Software","Mountain View, California, United States","Applied Intuition provides software infrastructure to safely develop, test, and deploy autonomous vehicles  at scale.",70,"34,375",Active,—,appliedintuition.com,View on Twitter,View on LinkedIn,"Peter Ludwig, Qasar Younis",Made Acquisitions,—
1,Spiff,"Financial Services, FinTech, SaaS, Sales, Sales Automation","Sandy, Utah, United States",Spiff is a compensation platform for revenue and sales organizations that helps automate complex commission processes and motivate sales.,171,"73,424",Active,—,spiff.com,View on Twitter,View on LinkedIn,"Albert Candari, Casey Crouch, Jean-Philippe Maitre, Jeron Paul, Matt Stapleton, Mike Ries, Tanner Lacey, Travis Ashby",—,—
2,Strive Health,"Health Care, Information Technology, Medical, mHealth","Denver, Colorado, United States",Strive Health is a value-based kidney care provider with an integrated system supporting the journey of individuals with kidney disease.,174,"10,442",Active,—,strivehealth.com,View on Twitter,View on LinkedIn,Chris Riopelle,—,—
3,Rocket Lab,"Aerospace, Electronics, Industrial Manufacturing","Huntington Beach, California, United States",Rocket Lab delivers a range of complete rocket systems and technologies for fast and low-cost payload deployment.,179,"153,959",Active,—,www.rocketlabusa.com,View on Twitter,View on LinkedIn,Peter Beck,Made Acquisitions,—
4,Carrum Health,"Health Care, Hospital, Human Resources, Wellness","San Francisco, California, United States",Carrum Health is a value-based centers of platform that ensures patients receive quality and less expensive care.,180,"11,948",Active,—,www.carrumhealth.com,View on Twitter,View on LinkedIn,"Brent Nicholson, Sach Jain",—,—
5,DraftKings,"Fantasy Sports, Gaming, Online Games, Sports","Boston, Massachusetts, United States",DraftKings provides online daily and weekly fantasy sports contests for cash prizes in major sports.,184,"12,581,603",Active,—,www.draftkings.com,View on Twitter,View on LinkedIn,"Jason Robins, Matt Kalish",Made Acquisitions,—
6,Octane,"Credit, Financial Services, FinTech, Lending, Lifestyle","New York, New York, United States",Octane offers access to instant financing to fuel their customers lifestyle.,207,"292,510",Active,—,octane.co,—,View on LinkedIn,"Andre Gregori, Jason Guss, Mark Davidson, Mark Garro, Michael Fanfant",—,—
7,Plus,"Artificial Intelligence, Autonomous Vehicles, Logistics, Transportation","Cupertino, California, United States",Plus develops self-driving trucks to enable large-scale commercialization of autonomous transport.,243,"6,710",Active,—,plus.ai/,—,View on LinkedIn,"David Liu, Hao Zheng, Shawn Kerrigan, Tim Daly",—,—
8,Via,"Logistics, Mobile Apps, Real Time, Ride Sharing, Transportation","New York, New York, United States","Via is a transport company that offers public mobility solutions for transit agencies, school districts, cities, and corporations.",300,"235,198",Active,—,www.ridewithvia.com,View on Twitter,View on LinkedIn,"Daniel Ramot, Oren Shoval",Made Acquisitions,—
9,Ginkgo Bioworks,"Biopharma, Biotechnology, Chemical","Boston, Massachusetts, United States",Ginkgo Bioworks is a developer of biological engineering products and custom microbes across multiple markets.,418,"46,997",Active,—,ginkgobioworks.com,View on Twitter,View on LinkedIn,"Austin Che, Barry Canton, Jason Kelly, Reshma Shetty, Tom Knight",Made Acquisitions,—
10,Sift,"Analytics, Big Data, Fraud Detection, Network Security, Predictive Analytics","San Francisco, California, United States",Sift applies insights from a global network of data to detect fraud and increase positive user experience.,491,"69,572",Active,—,sift.com,View on Twitter,View on LinkedIn,"Brandon Ballinger, Jason Tan",Made Acquisitions,—
11,Clarity AI,"CleanTech, Finance, Financial Exchanges, GreenTech, Information Technology, Machine Learning, Retail, Sustainability","New York, New York, United States",Clarity AI is a sustainability technology platform that uses machine learning to deliver environmental and social insights to investors.,524,"99,716",Active,—,clarity.ai/,View on Twitter,View on LinkedIn,Rebeca Minguela,—,—
12,Cortex,"Developer Platform, Information Technology, Productivity Tools, Software","San Francisco, California, United States",Cortex is a software platform designed to manage and operate microservices.,646,"20,171",Active,—,www.cortex.io,View on Twitter,View on LinkedIn,"Anish Dhar, Ganesh Datta, Nikhil Unni",—,—
13,Zepz,"Financial Services, FinTech, Mobile Payments","London, England, United Kingdom",Zepz is a money transfer service that helps migrants send money to their loved ones all over the world.,694,"20,179",Active,—,www.zepzpay.com/,View on Twitter,View on LinkedIn,"Catherine Wines, Ismail Ahmed, Richard Igoe",Made Acquisitions,—
