web-scraper-order,web-scraper-start-url,type
"1687171567-1","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Friday, June 16, 2023"
"1687171567-2","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (2)  Paro:  Crunchbase News —  The Week’s 10 Biggest Funding Rounds: Madhive Tops In Very Slow Week  Pinterest:  Crunchbase News —  Accel’s AI Investments Keep The Focus On Applications And Tooling"
"1687171567-3","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Thursday, June 15, 2023"
"1687171567-4","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Acquisition (1) Verix acquired Start-up.ai for an undisclosed amount  Investments (1) Nauto raised an undisclosed amount  / Series Unknown from Stellantis Ventures News (2)  Pod Foods Co:  PRWeb —  Leading Accounting Automation Platform ZenFinancials Selects TrueRev to Turbocharge Revenue Recognition for B2B SaaS Clients  Mira:  Crunchbase News —  Metaverse Investing Has Slowed. Can Apple Save It?"
"1687171567-5","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Wednesday, June 14, 2023"
"1687171567-6","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Investments (4) Connext raised $7,500,000  / Series A from 1kx and 14 other investors Commonplace raised £2,100,000  / Series Unknown from Beringea and 5 other investors Paro raised $25,000,000  / Series C from Madrona and 3 other investors Unnati raised ₹285,000,000  / Series B from Incofin Investment Management and 3 other investors  News (10)  Connext:  AlexaBlockchain —  Connext Labs Raises $7.5M in the Latest Funding Round  Paro  Business Wire —  Paro Raises $25 Million in Series C Funding to Further Build Enterprise Platform for Finance and Accounting Services  Crains Chicago —  Paro raises $25 million, signaling thaw in venture funding  TechCrunch —  Paro raises $25M to match freelance financial experts with firms  VC News Daily —  Paro Raises $25 Million in Series C 1 More Article  Archer:  EIN News —  Archer K Music Launches Innovative Effect Pedal Marketplace  Pure Storage  Silicon Angle —  Pure Storage debuts new flash storage arrays and cybersecurity features  ARN —  Pure Storage expands all-flash solutions  Brut:  Telecom Paper —  Lifecell supports blood donor campaign  Terran Orbital:  Seeking Alpha —  Terran Orbital appoints aerospace and defense industry veteran Tony Gingiss as COO  Silo:  gamesradar —  Apple renews Silo for season 2  GitHub  Bloomberg Línea —  GitHub CEO Sees Brazil’s Potential as a Growing Market for Developers  SC Media —  Someone is posing as a fake security company to create malicious GitHub repositories  Okta:  EIN News —  Zesty.io Announces New Okta Single Sign On Integration  ClimateView  FinTech Global —  Swedish FinTech ClimateView nets €14m to propel climate finance revolution  AIN.Capital —  Helsinki-based NordicNinja participates in a €14M round for ClimateView Show All"
"1687171567-7","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Tuesday, June 13, 2023"
"1687171567-8","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","News (11)  Maude:  beautymatter.com —  Sex Sells...Beauty Products  Brain Corp:  EIN News —  Robot Software Market - Massive Growth Ahead | ABB, AIBrain, Brain Corp  Okta  SiliconANGLE —  Okta Device Access enhances security in a hybrid workforce environment  IT World Canada - Information Technology news on products, services and issues for CIOs, IT managers and network admins —  Canadians choosing data control and privacy above all else when engaging with brands: Okta survey  ARN —  Okta aims to unify IAM for Windows, macOS devices in hybrid work environments  Archer  Benzinga —  Why Archer Stock Is Surging  Seeking Alpha —  Archer Aviation stock surges 20% after hiring former FAA chief  The Motley Fool —  Why Archer Aviation Stock Is Up Today  DigitalOcean  linkedin.com —  Andrejs Hmelovs’ Post In5Tech Family and DigitalOcean Hatch for startups  linkedin.com —  Big Layout Data and DigitalOcean Hatch for startups  Medium —  Hatch for startups  GitHub:  The Register —  Surprise! GitHub finds 92% of developers love AI tools  Dawex:  Morningstar, Inc. —  Hub One Has Selected Dawex Technology for its Airport Data Exchange Platform “Hub One DataTrust”  Perfect:  PRNewswire UK —  Ubitus Supports Perfect to Debut AI Powered Virtual Try-On Metaverse at Viva Tech  ZAGENO:  Pulse 2.0 —  ZAGENO: Life Science Research Product Marketplace Receives $33 Million In Funding  ClimateView:  FinSMES —  ClimateView Raises €14M in Funding  Zomato:  Inc42 —  Zomato’s ‘Kachra’ Ad Campaign Now Under Scheduled Castes Commission Rader Show All"
"1687171567-9","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Monday, June 12, 2023"
"1687171567-10","https://www.crunchbase.com/lists/search-cb-4492-5392-csv/d20e9a09-fce8-40fe-b8fd-042ed21efb73/organization.companies?timeline=true&timelineType=all","Acquisition (1) Okta acquired Arengu for an undisclosed amount  Investments (1) ClimateView raised €14,000,000  / Series B from 115K and 9 other investors  News (10)  Enfuce  FinTech Futures —  Iceland’s Kvika Bank taps Enfuce to revamp its payment services  Payments Cards & Mobile —  Enfuce announces issuing partnership with Kvika Bank  Gorilla Technology Group:  Seeking Alpha —  Gorilla Technology buys Bacom Internetwork  Darktrace:  Help Net Security —  Darktrace unveils AI models that help protect data privacy and intellectual property  Okta:  kfund.vc —  Okta acquires Arengu  CopyAI:  PRLog —  Cheap Airline Tickets Bookings- FareCopy (Flight Tactix LLC)  Origin Materials:  Business Wire —  Origin Materials Announces Appointment of Jim Stephanou to Board of Directors  3D Cloud by Marxent:  PR Newswire —  3D Cloud by Marxent Announces Early Access Program for 3D Cloud Room Scanner  Nature:  Ars Technica —  Nature bans AI-generated art from its 153-year-old science journal  GitHub  The GitHub Blog —  GitHub’s revamped VIP Bug Bounty Program  The GitHub Blog —  Make your GitHub projects more accessible with accessibility-alt-text-bot  Zomato:  Inc42 Media —  Subscription Boom: Can Differential Pricing Strategy Help Swiggy-Zomato Boost Monetisation? Show All"
