,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
widbook,0.0,0,0,10,0,0,0,10,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,22,0,0,14,9,0,23,0,0,0,15,13,0,0,0,0,100
modelinia,0.0,0,0,57,0,0,0,54,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,81,0,0,0,0,0,57,46,0,0,60,0,0,0,0,0,0,0,0,0,0,34,0,37,0,0
uplister,0.0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,40,0,95,0,100,0,0,0,0,0,0,0,0,0,49,0,0,0,38,0,0,0,0,0,0,0,50,55,0,0,0,0,0,0,0
smalltown,55.0,48,58,52,55,57,38,50,46,54,46,49,41,35,40,62,56,57,57,61,100,53,43,63,57,48,53,49,49,74,49,51,45,33,41,41,38,43,41,47,42,48,46,52,49,57,58,49,52,46,43,59
kula.com,0.0,0,0,0,29,12,27,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,16,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,15,100
youmag,0.0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,100
visualcv,79.0,97,63,92,65,33,76,62,52,70,58,74,52,59,66,0,62,41,41,14,29,81,58,58,49,48,33,93,35,71,67,40,91,76,100,76,65,48,53,64,93,66,50,82,62,47,63,92,93,68,51,0
loveit,47.0,55,65,43,53,46,40,48,31,46,41,61,56,43,29,34,41,43,37,41,42,20,45,51,31,76,36,60,71,48,53,67,79,67,55,62,48,47,47,45,55,54,49,49,86,71,70,49,85,99,100,46
liquidgeneration,0.0,0,0,0,0,16,0,0,0,100,0,16,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iplay,64.0,61,67,69,67,70,79,64,68,60,66,64,63,69,67,68,69,77,64,64,69,70,76,77,77,77,81,87,87,99,81,97,99,97,100,100,90,92,88,96,93,89,95,100,90,85,95,93,96,91,98,76
showtime,92.0,75,73,86,74,74,64,64,60,59,58,56,60,65,61,61,57,54,51,46,59,59,51,61,52,51,53,60,65,71,66,75,73,79,76,70,85,76,81,74,79,78,78,63,55,82,100,73,52,54,64,79
Brainhunter,0.0,24,0,0,68,0,0,0,0,32,0,0,0,25,14,14,0,43,0,0,0,0,0,23,25,15,0,0,0,18,0,0,27,0,20,41,0,20,0,22,0,0,0,0,0,24,0,39,0,21,29,100
collarity,0.0,0,0,0,0,0,0,0,0,0,0,0,39,14,15,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,100
superf3st,0.0,0,0,0,0,32,0,0,0,52,0,0,0,25,0,0,53,24,0,0,0,0,37,0,0,0,0,0,0,45,0,75,100,27,0,0,0,0,0,39,0,28,26,0,27,0,0,52,0,0,0,0
inmusik,0.0,0,83,0,0,0,0,0,72,0,0,0,0,0,53,34,0,0,58,100,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,40,0,45,0,52,0,33,0,0,0,0,61,89,49,0,0
hark.com,36.0,60,49,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,70,0,0,0,0,0,0,0,100,0,85,0,0,0,67,0,0,0,0
veralia,100.0,60,38,49,99,58,46,0,25,0,34,52,40,51,76,61,69,51,67,39,72,29,20,18,33,37,47,35,67,15,42,22,69,73,0,21,41,40,69,59,49,28,16,56,32,0,36,43,78,76,0,0
dearmedia,0.0,0,0,0,0,0,100,55,0,0,0,0,40,37,0,50,34,0,0,34,0,0,0,0,0,40,0,76,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0
iconcerts,41.0,0,33,34,0,0,0,66,68,0,39,31,0,49,47,0,78,39,57,53,67,0,70,29,0,0,54,68,0,52,58,34,63,0,63,0,45,100,80,0,64,0,0,86,41,0,59,48,26,0,0,0
alikelist,0.0,0,24,0,0,0,0,0,0,16,27,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,37,0,0,0,12,0,0,0,0,17,18,0,17,0,0,0,11,0,9,0,0
tugg,46.0,64,40,44,52,32,46,69,42,38,39,42,41,52,48,42,41,34,47,41,23,40,53,42,39,45,57,41,100,55,55,62,67,53,51,60,61,56,49,39,46,50,59,60,54,48,44,55,33,34,36,0
fitmoo,0.0,0,0,53,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,55,0,0,0,51,0,95,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,93,0
hardcloud,0.0,89,86,0,45,0,0,0,55,64,0,76,54,69,0,0,0,0,0,37,0,0,0,100,0,0,77,0,0,47,0,0,0,0,0,36,67,0,78,0,41,60,0,0,0,49,36,0,0,0,0,0
getbetter,10.0,46,11,0,0,13,11,0,14,0,20,0,0,0,50,0,29,9,18,0,0,0,8,0,22,0,17,19,10,12,0,0,0,8,13,22,0,0,64,12,0,0,30,22,13,0,19,12,0,0,18,100
back9network,27.0,0,0,0,42,0,0,0,0,54,85,61,34,0,0,0,0,0,27,25,100,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,48,0,79,0,0,0,0,0,0,0,0,0,0,0
friendfeed,82.0,82,0,75,0,0,0,0,0,0,24,0,36,0,0,0,0,27,50,0,0,0,25,24,0,42,0,0,0,0,37,48,0,100,69,24,0,0,0,27,33,31,0,0,31,0,0,31,0,0,0,0
ceyx,68.0,0,36,0,60,84,87,0,46,47,31,0,21,0,21,20,51,55,0,41,68,33,64,52,0,46,0,22,28,53,22,71,35,54,54,28,20,16,38,48,47,43,79,74,41,48,75,52,25,100,19,0
