keyword,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28,2023-06-04,2023-06-11
bankingly,74,35,0,0,0,0,0,41,0,0,0,0,78,0,0,0,0,42,0,97,43,0,33,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,38,38,47,94,0,0,0,0,0,0,0
bluevine,60,91,63,83,92,83,87,79,76,76,80,71,74,81,70,75,65,72,63,76,73,64,68,82,82,82,81,76,98,98,94,100,92,86,84,80,90,89,86,91,77,90,83,89,78,83,78,74,65,78,74,80
fleetspace,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,66,40,0,0,0,0,32,0,0,0,0,32,0,0,0,0,0,38,0,0,0,0,0,0,64,0,100,59,0,0,0,0,0
nowfloats,52,72,64,74,48,43,29,25,48,32,54,22,88,54,40,33,40,17,30,28,37,38,47,80,46,61,78,0,0,35,60,70,65,40,62,100,65,36,49,33,54,55,14,44,58,22,59,44,53,43,89,22
,31,30,31,34,100,38,32,31,31,31,34,31,32,31,32,31,31,30,30,32,33,31,32,30,31,33,30,29,31,32,31,31,32,31,34,33,32,32,33,33,32,32,30,32,31,30,30,30,31,31,32,31
zingtree,92,0,23,0,30,96,46,81,0,56,67,29,32,0,36,0,0,86,22,43,24,89,47,0,0,36,56,0,31,40,89,24,34,36,86,26,100,29,25,38,61,0,58,0,38,0,0,0,49,0,0,0
ontruck,0,29,38,83,0,48,42,0,29,0,0,25,59,44,0,0,22,22,57,43,0,0,64,37,0,26,49,0,0,0,0,0,47,0,38,0,0,0,40,23,100,51,0,63,44,0,0,28,0,94,24,94
combinati,74,83,60,54,55,61,55,65,60,55,66,68,73,98,63,59,78,80,79,60,69,88,91,100,85,87,47,49,58,56,75,71,64,71,91,58,84,59,86,82,76,34,63,75,53,70,87,75,79,74,64,69
vdoo,40,51,55,51,76,13,61,44,50,34,64,21,43,43,37,61,35,81,23,98,62,45,52,37,44,41,37,67,53,26,100,0,35,58,36,0,38,40,62,26,41,86,54,53,88,63,60,0,61,0,0,37
motosumo,0,0,0,0,0,47,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,49,73,0,82,77,86,0,0,0,53,35,0,0,0,0,0,0,0
sofant,56,0,51,0,0,0,59,0,0,93,0,0,0,42,0,0,0,0,0,0,0,54,0,100,44,0,0,0,0,0,0,0,96,0,0,84,60,75,0,0,0,0,0,0,0,66,0,0,46,45,0,0
valueblue,81,0,0,0,0,0,0,0,81,36,0,0,69,0,0,0,0,0,0,0,0,0,40,0,0,0,0,100,82,0,0,62,0,0,0,0,35,34,0,0,0,48,0,0,0,0,0,0,0,38,0,0
backlotcars,37,31,34,29,46,48,50,41,27,35,36,27,12,48,53,47,48,36,49,38,42,40,27,42,39,23,50,31,42,40,35,48,34,42,40,29,42,29,65,46,40,51,54,44,100,69,56,49,55,96,65,44
knorex,49,61,44,0,0,31,0,21,0,18,22,59,0,18,0,100,0,0,31,18,23,0,12,41,17,32,0,19,0,47,15,0,17,0,0,29,0,23,68,25,55,23,21,0,64,0,0,33,0,0,0,0
ilantus,0,0,0,0,19,0,0,0,0,19,0,0,28,19,100,0,0,21,23,0,0,0,0,0,0,0,0,18,24,0,0,0,0,0,23,0,0,0,46,0,0,0,0,22,22,0,0,0,0,0,0,0
vidsy,0,0,0,0,28,35,100,42,0,32,46,42,0,0,0,0,0,0,0,0,0,0,0,30,50,0,0,0,0,45,49,0,0,0,43,0,29,52,43,0,0,0,0,25,23,28,0,21,59,43,23,43
decide.co,0,36,0,0,0,0,0,0,0,0,0,0,0,23,100,0,0,0,22,0,0,0,26,0,0,0,0,62,18,0,0,0,0,0,0,0,0,28,0,0,0,24,0,0,0,36,0,0,22,0,0,0
decide.co,0,36,0,0,0,0,0,0,0,0,0,0,0,23,100,0,0,0,22,0,0,0,26,0,0,0,0,62,18,0,0,0,0,0,0,0,0,28,0,0,0,24,0,0,0,36,0,0,22,0,0,0
redeam,66,48,62,51,60,100,71,67,55,68,35,66,78,57,62,91,77,57,68,48,25,42,41,81,88,54,66,97,91,41,47,72,89,23,89,52,58,48,65,58,60,40,56,43,72,11,44,44,49,61,54,30
cellarity,16,53,0,23,0,0,0,0,0,37,0,34,16,22,0,73,0,41,0,0,100,50,20,0,0,0,0,0,0,17,24,0,56,0,0,0,0,0,37,20,40,25,55,29,44,0,0,36,0,0,29,24
flyreel,59,26,32,97,0,100,68,0,0,44,77,0,0,40,44,57,0,0,23,0,0,28,36,0,30,63,0,95,0,0,0,0,27,0,31,0,29,70,0,0,55,0,0,0,38,32,0,40,0,76,31,84
vay,60,59,61,65,63,61,64,63,67,67,64,68,64,70,71,75,75,73,83,82,95,96,100,99,83,88,87,76,74,76,52,38,60,69,75,76,68,77,82,80,76,74,83,69,62,54,62,57,62,64,62,69
vay,60,59,61,65,63,61,64,63,67,67,64,68,64,70,71,75,75,73,83,82,95,96,100,99,83,88,87,76,74,76,52,38,60,69,75,76,68,77,82,80,76,74,83,69,62,54,62,57,62,64,62,69
livementor,45,45,38,35,44,28,25,28,24,40,58,48,22,63,69,21,84,59,40,43,36,60,34,46,47,31,35,28,61,79,31,37,100,36,41,53,57,56,34,64,66,23,41,35,46,36,31,34,41,58,58,46
datree,0,32,39,0,27,0,54,59,51,38,0,0,26,51,0,25,0,0,0,0,18,0,0,0,27,39,0,56,100,0,30,0,0,28,44,0,22,33,52,0,0,0,21,0,23,20,18,41,36,0,0,0
arthena,42,12,0,24,0,0,32,0,36,12,100,0,0,55,54,25,64,33,50,65,26,29,12,27,30,35,42,0,39,18,31,26,26,15,36,27,48,32,37,17,0,24,15,49,16,0,30,30,43,18,11,41
simudyne,0,0,54,0,0,0,0,0,0,67,0,37,0,0,0,29,0,0,0,71,0,61,0,0,0,0,0,0,0,0,34,0,0,44,0,0,0,0,0,0,0,0,0,0,0,40,0,42,100,54,0,0
instacarro,22,24,46,100,38,27,82,33,38,29,31,26,53,39,15,23,17,27,27,34,0,32,14,40,0,24,33,0,16,12,40,0,37,53,55,15,38,54,61,63,25,15,63,0,15,18,22,46,73,45,36,36
mancrates,7,14,9,9,13,13,7,23,0,16,0,19,11,0,10,5,20,12,21,18,31,25,42,86,88,100,35,24,17,15,30,33,38,28,8,0,0,9,12,7,22,0,15,12,11,9,15,9,6,14,26,32
knowledgehook,48,14,6,9,3,3,0,2,5,0,3,23,64,83,73,98,90,90,81,100,96,66,63,67,79,72,41,2,10,85,76,73,72,79,72,59,77,75,6,74,70,66,61,84,77,81,77,78,55,60,56,67
usemotion,0,30,35,54,30,25,16,0,30,56,38,29,15,0,26,60,64,68,35,79,56,24,24,64,17,56,44,80,58,65,46,76,100,45,71,47,66,66,72,60,56,74,38,67,60,38,45,45,67,49,62,45
medvantx,26,0,44,54,25,100,0,54,22,0,0,28,45,33,0,33,0,17,0,47,21,0,44,20,44,24,61,0,46,0,16,40,50,28,0,0,47,24,0,31,57,40,78,27,25,0,0,20,15,0,48,89
reviver.com,0,0,0,0,0,100,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,97,82,0,0,0,0,0,0,0,0,67,0,0,0,77,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0
estimote,0,21,22,0,35,0,0,74,45,0,0,41,0,0,100,31,0,35,83,0,0,49,91,19,26,25,27,0,24,0,33,38,30,0,23,23,73,0,37,33,68,0,44,0,42,52,0,43,0,69,27,32
photosynth,45,32,50,72,91,31,59,0,90,43,35,16,20,25,0,0,71,0,47,44,40,36,27,58,16,32,24,45,0,48,30,54,0,30,0,0,0,31,29,100,48,22,0,0,73,0,31,34,33,35,59,0
openreplay,0,84,22,0,0,67,0,24,31,61,44,35,0,0,0,0,0,44,100,38,21,0,90,39,0,23,64,49,0,0,25,26,38,26,0,0,0,0,19,91,71,28,63,0,38,0,0,0,0,0,0,0
neuralight,0,0,37,0,85,0,0,25,0,0,0,74,0,30,30,0,0,0,0,0,0,0,54,22,0,0,0,0,0,0,31,35,0,0,0,100,0,45,0,0,0,71,0,0,0,0,0,26,0,0,0,0
yappli,0,0,100,42,53,73,51,0,72,0,75,53,54,80,45,0,36,0,0,0,50,0,18,0,71,29,67,52,0,58,36,50,17,47,70,50,39,62,44,70,0,68,34,0,48,0,39,65,47,89,51,49
climate.com,0,22,37,0,23,0,21,28,0,44,0,0,19,0,0,0,52,0,24,17,0,100,0,17,0,0,0,0,99,0,0,42,28,0,23,0,16,52,0,0,21,0,0,0,0,36,46,0,22,36,0,0
codesandbox,80,79,90,68,75,80,83,84,82,89,84,86,93,85,87,77,88,84,74,90,89,100,78,83,86,84,83,71,68,89,92,82,92,93,99,96,94,90,96,93,87,80,86,77,79,75,80,80,78,77,73,71
heybit,0,0,0,0,0,0,0,0,0,0,57,0,55,87,0,32,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,57,0,0,0,0,34,0,100,0,47,33,0
hoxton,89,96,93,88,87,82,89,80,83,86,84,85,97,91,96,92,84,84,93,83,92,85,90,83,81,81,73,84,96,90,88,92,99,92,98,100,92,94,81,81,84,82,79,92,92,75,83,93,84,85,94,98
eneida,94,76,68,70,70,61,72,71,75,55,73,87,81,72,86,78,80,88,84,77,90,96,92,76,77,70,55,48,79,75,81,80,82,82,92,68,90,95,84,83,86,72,71,94,95,85,84,84,86,100,91,94
naborly,100,51,24,21,31,52,30,24,25,53,0,15,35,24,23,45,29,48,32,65,0,0,0,0,0,0,0,28,0,0,0,17,18,0,0,0,26,17,25,0,18,23,18,0,24,25,0,34,23,24,0,0
brightside,100,73,76,75,77,77,92,74,78,74,74,65,67,66,76,72,68,69,67,75,67,72,62,66,68,70,64,67,68,68,68,62,69,66,64,64,67,70,68,65,69,67,66,67,64,63,69,67,60,64,71,63
brightside,100,73,76,75,77,77,92,74,78,74,74,65,67,66,76,72,68,69,67,75,67,72,62,66,68,70,64,67,68,68,68,62,69,66,64,64,67,70,68,65,69,67,66,67,64,63,69,67,60,64,71,63
ergatta,66,67,58,93,81,69,73,70,89,83,79,75,48,72,82,51,53,47,49,77,61,93,74,84,63,41,51,48,88,81,100,98,88,51,54,55,61,60,44,100,67,50,26,20,44,91,65,43,44,22,23,62
modaoperandi,98,65,36,0,67,0,47,34,56,21,39,0,0,26,0,20,35,53,40,25,56,37,100,37,19,38,23,35,22,32,0,38,0,28,64,42,0,65,27,0,0,18,26,0,16,28,0,0,22,0,0,68
permission.io,0,49,0,43,0,0,0,48,0,0,0,0,0,100,0,94,0,0,45,0,29,0,0,0,0,55,0,0,0,38,0,0,0,28,0,0,0,31,35,0,0,50,0,25,28,0,0,0,0,0,0,0
giztix,27,38,0,87,0,0,0,0,23,100,45,27,0,20,0,70,41,0,0,40,0,0,16,40,0,23,0,18,0,0,0,0,0,0,0,0,12,26,0,38,0,0,14,0,0,0,0,14,0,0,0,31
thinxnet,0,100,35,0,0,0,0,0,0,24,0,0,20,0,0,18,0,0,0,0,0,0,0,0,42,0,26,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clutch.ca,72,40,0,51,62,0,21,0,29,0,50,64,69,67,41,0,69,38,0,27,31,18,0,51,0,27,22,36,0,36,60,31,0,32,41,74,67,100,0,0,0,82,51,35,0,23,55,22,35,55,0,46
celsius,68,59,56,77,100,64,60,60,54,53,54,58,55,56,54,51,55,55,54,55,54,66,58,55,57,66,95,79,57,57,61,62,72,56,53,54,54,53,54,54,51,56,57,57,53,51,52,52,52,55,55,66
