,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
skippr,0,0,25,0,100,0,0,0,0,0,0,0,20,0,26,29,0,0,0,0,0,19,22,0,0,33,22,31,0,0,58,0,0,71,0,0,27,80,35,0,37,0,0,0,0,0,34,18,0,0,0
wengo,82,100,85,79,76,82,73,87,72,90,81,100,72,85,79,77,79,84,73,66,73,78,69,80,76,74,77,82,96,94,88,85,83,86,78,82,74,84,70,78,81,77,75,75,70,80,78,84,80,74,78
lango,63,77,74,73,69,67,98,87,75,82,84,87,79,74,88,68,63,71,96,72,74,71,70,93,66,65,63,96,78,100,92,94,66,80,76,79,63,59,64,64,66,60,73,70,84,72,71,70,73,78,72
kyckglobal,27,0,0,0,0,0,0,0,0,0,0,0,0,37,0,77,39,51,0,0,63,0,0,33,0,0,0,0,0,0,0,0,45,37,0,43,100,0,0,47,0,0,0,27,0,0,0,0,0,0,0
pepette,44,78,48,50,100,85,54,47,74,48,51,56,72,50,41,61,60,56,33,33,40,35,23,70,78,38,52,80,66,41,30,9,59,35,33,48,62,51,69,41,40,20,71,48,45,56,22,44,56,57,45
,30,32,32,29,33,100,41,32,32,34,33,36,32,34,33,31,33,33,31,33,34,35,33,34,31,32,33,30,32,32,31,33,33,33,33,36,34,33,33,32,33,33,34,31,32,32,31,32,32,32,32
jp,84,87,87,95,88,86,85,86,90,83,88,84,87,84,78,86,85,97,86,83,90,88,84,80,79,82,87,86,88,100,95,85,90,84,88,85,83,83,84,89,82,84,92,91,82,86,91,87,86,84,84
pathogendx,0,0,0,0,0,0,0,0,0,66,0,78,0,0,46,0,0,0,0,100,0,0,0,0,0,0,0,60,0,80,0,0,0,0,0,0,0,47,45,43,0,44,0,0,0,0,0,0,0,0,0
raisonance,0,0,0,34,0,0,0,0,0,42,0,0,0,0,0,47,0,0,0,46,0,31,0,0,0,100,42,57,55,0,27,0,0,0,0,63,0,25,0,56,69,25,0,0,0,0,85,0,0,29,53
,30,32,32,29,33,100,41,32,32,34,33,36,32,34,33,31,33,33,31,33,34,35,33,34,31,32,33,30,32,32,31,33,33,33,33,36,34,33,33,32,33,33,34,31,32,32,31,32,32,32,32
CityDeal,4,2,2,4,5,9,6,10,100,7,6,5,3,2,0,2,6,0,6,4,0,2,0,4,3,1,3,2,2,4,0,0,4,7,3,1,5,1,2,6,4,3,2,6,3,5,3,3,1,0,2
wegowise,0,0,0,0,0,60,0,0,0,25,100,0,0,0,0,0,0,20,0,15,0,0,0,47,0,0,36,0,0,0,0,60,21,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17
