,SORT_INDEX,TITLE,ID,FILING_DATE,RECORD_NUM,FORMED_IN,AGENT,STATUS,ENTITY_TYPE,STANDING,ALERT,CAN_REINSTATE,CAN_FILE_AR,CAN_FILE_REINSTATEMENT,Standing - SOS,Standing - FTB,Standing - Agent,Standing - VCFCF,Formed In,Entity Type,NumResult,CompanyName,Inactive Date,Foreign Name,Principal Address,Mailing Address,Filing Type,Status,Term of Duration
0,0,['MOBSOC MEDIA LLC (201228210247)'],6732454,09/26/2012,201228210247,CALIFORNIA,LARRY KANE,Active,Limited Liability Company - CA,Good Standing,False,False,True,False,Good,Good,Good,Good,CALIFORNIA,Limited Liability Company - CA,1,MobSoc Media,,,,,,,
0,0,"['QUARK GAMES, INC. (3182829)']",1221548,12/30/2008,3182829,DELAWARE,JAMES  LUO,Terminated,Stock Corporation - Out of State - Stock,Good Standing,False,False,False,False,Good,Good,Good,Good,DELAWARE,,4,Quark Games,12/15/2016,,,,,,
0,0,"['VIVATY, INC. (3007215)']",2170679,07/18/2007,3007215,DELAWARE,LIOR  NUCHI,Terminated,Stock Corporation - Out of State - Stock,Good Standing,False,False,False,False,Good,Good,Good,Good,DELAWARE,,1,Vivaty,08/31/2010,,,,,,
0,0,"['ONEREV, INC. (2266627)']",3924071,10/27/2000,2266627,DELAWARE,NAGEEN  SHARMA,Forfeited - FTB/SOS,Stock Corporation - Out of State - Stock,Not Good Standing,False,False,True,False,Not Good,Not Good,Good,Good,DELAWARE,,1,oneREV,06/09/2005,,,,,,
0,0,"[""'' N & J FASHION, INC.'' (3245690)""]",3391644,04/27/2010,3245690,CALIFORNIA,GARNIK NIKOGHOSYAN,Active,Stock Corporation - CA - General,Good Standing,False,False,True,False,Good,Good,Good,Good,CALIFORNIA,Stock Corporation - CA - General,319,Fashion One,,,,,,,
0,0,"['DETOUR.COM, INC. (3617725)']",1881804,11/08/2013,3617725,DELAWARE,CORPORATION SERVICE COMPANY WHICH WILL DO BUSINESS IN CALIFORNIA      AS CSC - LAWYERS INCORPORATING SERVICE,Terminated,Stock Corporation - Out of State - Stock,Good Standing,False,False,False,False,Good,Good,Good,Good,DELAWARE,,1,Detour.com,07/02/2019,,,,,,
0,0,"['PEREGRINE AVIATION, LLC (200713710221)']",6931680,05/15/2007,200713710221,CALIFORNIA,STEVAN BERKLEY,Terminated,Limited Liability Company - CA,Good Standing,False,False,False,False,Good,Good,Good,Good,CALIFORNIA,,3,Peregrine Glove,08/16/2010,,,,,,
0,0,['AIRPOWER PIXELS INC. (4589399)'],1103548,04/29/2020,4589399,CALIFORNIA,"LEGALZOOM.COM, INC.",Active,Stock Corporation - CA - General,Good Standing,False,False,True,False,Good,Good,Good,Good,CALIFORNIA,Stock Corporation - CA - General,70,Pix ,,,,,,,
0,0,['2255 INDIA LLC (201408710249)'],7100075,03/26/2014,201408710249,CALIFORNIA,JOHN MCNAMARA,Active,Limited Liability Company - CA,Good Standing,False,False,True,False,Good,Good,Good,Good,CALIFORNIA,Limited Liability Company - CA,106,India Hicks,,,,,,,
0,0,['MANDALAY ESTATES HOMEOWNERS ASSOCIATION (3475656)'],933361,05/15/2012,3475656,CALIFORNIA,SHELLY A WEST-CHENOEWTH,Active,Nonprofit Corporation - CA - Mutual Benefit - Common Interest Development Corporation,Good Standing,False,False,True,False,Good,Good,Good,Good,CALIFORNIA,Nonprofit Corporation - CA - Mutual Benefit - Common Interest Development Corporation,5,Mandalay Sports Media,,,,,,,
