date,Media Type,Publication Name,Title of the article,title,event,Link to the article,Notes,amy notes 08-03-2023,ashley notes 08-07-2023
6/25/06,Online Publication,NYT,"Buffett to Give Billions
  to Gates Charity and Others","NYT: Buffett to Give Billions
  to Gates Charity and Others",Buffett announces he is giving away his fortune,Article,Online Publication,look at this article to see what issues Buffett is helping with,generic
6/26/06,Television,"ABC News: 
 Good Morning America",GOOD MORNING AMERICA,"ABC News: 
 Good Morning America: GOOD MORNING AMERICA","You can't take it with you. Warren Buffett, America's second richest man, says he'll give most of his fortune, $37 billion, to charity. First Bill Gates, now Buffett. An amazing splurge of generosity.",,,,generic
12/6/06,Online publication,New York Times,"Buffett to Give Bulk of 
 His 
 Fortune to Gates 
 Charity","New York Times: Buffett to Give Bulk of 
 His 
 Fortune to Gates 
 Charity","Warren E. Buffett, the chairman of Berkshire Hathaway Inc. and one of the world's wealthiest men, plans to donate the bulk of his $44 billion fortune to the Bill & Melinda
  Gates Foundation and four other philanthropies starting in July.
 
 The donations, outlined in a series of letters that Mr. Buffett released yesterday and will execute today, represent a singular and historic act of charitable giving that vaults
  him into the top tier of industrialists and entrepreneurs like Andrew Carnegie, John D. Rockefeller Sr., Henry Ford, J. Paul Getty, W. K. Kellogg and Mr. Gates himself, all 
 men whose fortunes have endowed some of the world's richest private foundations.",NYT article,,,generic
4/3/07,,,,"New Century Financial, which specializes in subprime mortgages, files for Chapter 11
 bankruptcy protection and cuts half of its workforce","New Century Financial, which specializes in subprime mortgages, files for Chapter 11
 bankruptcy protection and cuts half of its workforce",,,,housing
8/3/07,Online publication,Washington Post,"On Doris and the 
 Sunshine Ladies
  Foundation - Not just
  A 'dribble':","Washington Post: On Doris and the 
 Sunshine Ladies
  Foundation - Not just
  A 'dribble':","With so many worthy causes, big and small, how does she pick?
 Many times, Buffett leaves it to her ""Sunbeams"" -- a loose network of friends and acquaintances across the country who act as
  ""junior philanthropists."" They pinpoint a person in need and send Buffett a one-page letter detailing the problem. If they've done their 
 homework, and the facts check out, Buffett puts a check in the mail the next day.
 Then there are her scholarships. Some go to youth who have ambition but lack means -- as long as they do not smoke, drink,
  do drugs or pierce anything except their ears. Others go to abused women nominated by shelters. Their scholarships can cover doctor visits and rent 
 deposits, as well as tuition and books.
 And sometimes Buffett simply stumbles upon something that inspires -- or annoys -- her.
 Annoyance prompted her to open her pocketbook and write a $61,000 check to the Fredericksburg City Council. The city was about to open its first public pool when residents 
 complained that the entry fee was prohibitive for some of the city's kids. A few strokes of Buffett's pen solved the problem, allowing all residents to enter for free this summer.
 A road separates the pool from a community with many kids who live in poverty, she said. ""I can't bear to think of the kids on one side of the road hearing the kids on the other side 
 of the road splashing around and having fun.""
 Buffett inherited some of her money when her mother died in 1996, she said. Then there's the stock she has in her brother's company, Berkshire Hathaway Inc. ""He makes the money, 
 and I spend it,"" Buffett said. ""It's the perfect deal.""
 When her foundation needs it, she'll cash in a share or two.
 ""I'm not trying to manage the money,"" Buffett said. ""I'm not trying to leave it to my children. I'm not looking for tax benefits. I'm not trying to earn brownie points to get to heaven. 
 I just think it's the right thing to do, and it gives me enormous joy to do it because life is really, really hard, in case you haven't noticed that.""",Link,,"abuse, scholarships","abuse, scholarship"
8/3/07,Oline publication,World Street Journal,"The Other Buffett
 Warren Buffett doesn't
 give handouts. But you 
 might try his sister Doris. 
 Sally Beatty on the 
 charity and frugality 
 that run in the family.","World Street Journal: The Other Buffett
 Warren Buffett doesn't
 give handouts. But you 
 might try his sister Doris. 
 Sally Beatty on the 
 charity and frugality 
 that run in the family.","One day last July, UPS delivered a large cardboard box to the doorstep of a condominium in Rockport, Maine. Inside were more than 1,400 letters.
 A New York state man wrote that he couldn't afford a new glass eye. A woman from New Jersey talked about the strain of caring for a sister suffering from multiple sclerosis.
  A Florida woman described her efforts to regain custody of her three small children. The letters, which came from all over the world, had two things in common: All of them 
 were pleas for money. And all were addressed to billionaire investor Warren Buffett.
 Buffett, who lives in Omaha, Neb., had forwarded them to someone he knew he could trust to give them a fair hearing -- his 79-year-old sister, Doris.
 Last summer, after Buffett pledged shares now worth over $35 billion to the charity of his good friend Bill Gates, the pleas began pouring in. 
 Since the Bill & Melinda Gates 
 Foundation, which focuses on global health and education, doesn't give money to individuals, Buffett began putting the letters aside for Doris, who runs a small foundation 
 of her own. And to the great surprise of the people who'd written, Buffett began calling them.
 
 Marie Delahoussaye, a widow in Texas, asked for money to replace an obsolete hearing aid that ""whistles."" In neat, black cursive script on green-lined memo paper she 
 wrote, ""Please consider helping me. I live very frugally. I don't waste anything.""
 Doris Buffett paid for two hearing aids that cost about $1,800 total. Delahoussaye -- who says she never expected to receive a response -- says the devices have helped 
 her reconnect with friends and her community. Before getting the hearing aids, ""I couldn't hear the phone ring,"" she says. ""I would go to church and couldn't hear the 
 sermon."" She says the experience has reaffirmed her faith in strangers. ""This has made me realize there are still good people in the world,"" she says.
 Warren Buffett says his sister ""is far more philanthropic than I am. She identifies with the underdog. I do it in a wholesale way, but not on a one-on-one basis. She really 
 wants to know their stories.""
 Doris Buffett has at least one thing in common with her famously thrifty brother, who prefers hamburgers to five-star fare and lives in the same house he bought decades
  ago: Buffett was raised during the Depression, and even when being generous she's extremely frugal. Her gifts to the letter writers have averaged about $4,800 each.
 Some supplicants get stern advice along with their check. She suggested that one grandmother who was having trouble making ends meet make extra money by baby sitting. 
 She told an older couple whose children had moved out to consider taking in a border. She sends many letter writers to local credit-counseling groups.
 Doris Buffett's crew of part-time helpers negotiates directly with the letter writers' lenders to settle debts for less money. They buy used cars rather than new ones for people 
 who have no other means of getting to work. And they insist that letter writers shop around for the lowest possible car insurance rates, including getting a quote from Geico, 
 which is owned by her brother's company, Berkshire Hathaway.
 The applicants who get money never receive enough to solve all their financial needs. Mitty Ewing, a onetime banker, has helped Doris Buffett run her philanthropy, called the 
 Sunshine Lady Foundation, since 1998. She says Doris Buffett's goal is ""to figure out what is the greatest need and how can we satisfy it with the fewest dollars.""
 ""I don't want to become their mommy. I don't think that's healthy. We're supposed to empower, but not enable. It's a fine line and I think it makes them more responsible in the 
 end."" Moreover, she says, being careful with money ""means we can help more people.""
 While her brother is the country's second-richest person, Doris Buffett hasn't always had wealth herself. ""I did have times in my life when I had to count the pennies,"" including 
 when her three children were very young, she says. ""I'd never experienced real wealth until after my mother died"" in 1996, she says. That's when she inherited money from a 
 family trust. And although she has battled cancer twice, she doesn't go soft when helping others with their health issues.
 Karen Yarbrough, a 33-year-old single mother of three, works as a cook and can't afford health insurance. Her 12-year-old daughter Lauren was infected by a rare fungal 
 disease, leaving her blind in one eye, and she underwent more than 30 operations. Medicare covered close to $10 million in hospital bills, but Yarbrough, who lives in 
 Millington, Tenn., near Memphis, still owed over $300,000. Yarbrough's twin sister, Sharon Pacheco, wrote to Warren Buffett on her behalf: ""My sister Karen is trying 
 to work when she can to keep from losing her house and car. I am not able to help her financially because I can barely make ends meet. So, this is where I want to ask for 
 your help.""
 After exchanging phone calls and letters, and verifying the women's story by reviewing tax filings and medical bills, Doris Buffett's foundation wrote checks to Yarbrough's
  lenders for more than $8,000. That gave her breathing room. ""If she hadn't helped me, I would have lost my house and everything,"" Yarbrough says.
 Warren Buffett, 76, traces his older sister's charitable impulse to their father. ""That was part of his ethos,"" he says of Howard Buffett, a stockbroker who became a 
 congressman. The money that she gives away comes mainly from a trust established by their father -- which Warren Buffett says he increased from under $100,000 
 to ""maybe $300 million"" by investing in the phenomenally profitable stock of Berkshire Hathaway. The funds eventually went to Doris Buffett and her sister, Bertie. 
 Doris Buffett, who has been married four times and currently is single, has three children in their 50s. She declines to disclose her net worth or how much of the 
 trust money she received.
 Doris Buffett estimates that her foundation has received more than 3,000 letters from her brother's office, and they keep coming. So far, she has given away more 
 than $1.4 million to more than 300 letter writers. Another 100 or so writers have been asked to provide documentation. To cover the cost of aiding the letter writers,
  last September Buffett transferred $5 million in Berkshire Hathaway stock to his sister's foundation. Otherwise, Buffett isn't involved in his sister's philanthropy.",Article,"MS/multiple schlerosis, custody, used car, hearing aid, no health insurance",,"vehicle, sclerosis"
12/10/07,,CBS Early Show,,CBS Early Show:,"W and D Buffett appear on the Early Show on CBS, discuss responding to letters",12/10/07,,,can't find transcript
12/11/07,Online publication,New York Times,"Studying Philanthropy, 
 and Doling Out Real Cash","New York Times: Studying Philanthropy, 
 and Doling Out Real Cash","Later, the group worried aloud about making the right choice.
 “Basically, where are we going to get the biggest bang for the buck,” said Conley Stout, 20. “And where can we have the most impact right now?”
 
 
 Dr. Rycroft said his program and the ones at Davidson, Virginia and Cornell were sponsored by the Sunshine Lady Foundation, 
 which is run by Doris Buffett, the sister of Warren E. Buffett, who recently made a $31 billion gift to the Bill and Melinda Gates Foundation. 
 Last year, his students, who receive credit for the course, awarded $10,000 to a battered women's shelter and a boys and girls club. This year's class chose
  nonprofit groups that make home repairs for low-income families and tutor economically disadvantaged children.",Article,,"home repairs, education, abuse,","home repairs, scholarship, abuse"
5/1/10,Online publication,Free Lance-Star,"Doris Buffett puts her 
 good fortune to good 
 use","Free Lance-Star : Doris Buffett puts her 
 good fortune to good 
 use","Shortly after her mother died in 1996, Buffett set up The Sunshine Lady Foundation, which shares the nickname that Buffett has received for her many good deeds. Since then she
  has spent the bulk of her time figuring out ways to help turn around the lives of the less-fortunate. She calls it ""paying it forward.""
 That means organizing a network of more than 150 ""Sunbeams"" across the country who are allotted up to $10,000 a year to help the less fortunate.
 
 It means paying college tuition for Afghan women, giving scholarships to battered and sexually abused women, educating prisoners, helping the mentally ill, building 
 facilities for Boys & Girls Clubs and paying the medical expenses of children with birth defects.
 
 In 2007, her foundation awarded more than $12 million in grants.",Link to the article,Ciculation in Virginia,"children with special needs, congenital illnesses, scholarship/education + incarcarated","children with special needs, scholarship, abuse, prisoner"
6/7/10,,,,:,D Buffett promotes its authobography on Good morning America and Fox Business Chanel,https://archive.org/details/WJLA_20100607_110000_ABC_News_Good_Morning_America/start/6240/end/6300,,,"scholarship, abuse, bipolar, housing"
6/10/10,Show,PBS: The Charlie Rose Show,"Philanthropy and the 
 Interesting Life of Doris Buffett","PBS: The Charlie Rose Show: Philanthropy and the 
 Interesting Life of Doris Buffett","CHARLIE ROSE: Who do you give this money to?
 
 DORIS BUFFETT: We put out the message when I was in Denver at a convention of battered-wives, people. And that was a huge success. It was a really a huge morale boost for those women.
 
 And then one of the women that was promoted -- what we say, by somebody else in her safe house, she said ""You really should know what a wonderful girl Gale Healy is and how she goes above and beyond what a director has to do."" They said, ""For instance, there is a woman who came in here with three children and she had never finished high school,"" and Gale said, ""You have the ability, so let`s get you a GED,"" which she did, and then got her to go on to college. When this proposal was written to me this woman was getting a Ph.D., and I thought, ""Well,"" a light went on, I said, ""there must be hundreds out there, and certainly education would make all the difference for them."" So we started the women`s independence scholarship program, WISP, women and we have had 1,500 and more -- 1,500 who have graduated and have gone on to wonderful lives.
 
 CHARLIE ROSE: Tell me what interests you.
 
 DORIS BUFFETT: One of my biggest interests right now, and has been for six years, is educating prisoners. And last week, Warren went with me to the Sing-Sing graduation.
 
 Here is the interesting fact -- 400,000 people get out of prison every year in this country. I`m trying to remember how many there are in prison. I can`t because I can never remember numbers but as we all know it`s a lot -- way too many. And normally, everywhere else from coast to coast the recidivism with rate within a year or two hovers between 60 and 63 percent. Now, of the graduates of Mercy College who got their degree while they were in prison at Sing-Sing, there have been 41 who have gone through the process and been released, their recidivism rate is -- guess what.
 
 CHARLIE ROSE: Zero.
 
 DORIS BUFFETT: You`re right. You could have been a little -- you could have given me a -- well, anyhow, it is zero. And that`s thrilling, and that`s one of the biggest problems we have in the country, because 60 to 70 percent -- how many did I say, 400,000 to 600,000 get out every year. They`re going to come out. Do you want them to go back to their old way of life or would you like to see them paying taxes?
 
 CHARLIE ROSE: We would like to see them paying taxes.
 
 What was the hardest story to tell?
 
 DORIS BUFFETT: I think to admit about the marriages and the fact I don`t have the best relationships with my children. I do have some wonderful relationships with a couple of my grandsons, and that`s --
 
 CHARLIE ROSE: Who is the dedication to? Joan Boswell-Horowitz.",,,,"scholarship, abuse"
6/16/10,Book,,"Giving it All Away: 
 The Doris Buffett Story",": Giving it All Away: 
 The Doris Buffett Story","Warren Buffett's big sister Doris has never lost that quality, despite personal problems that would have soured others on the world. The ""retail"" philanthropist known as the Sunshine Lady d
 erives such joy from helping others on a one on one basis that emotional abuse by a mother who may have been bipolar, a string of horrific marriages, nearly losing her home after the 1987 
 stock market crash, two bouts of cancer, and, worst of all, estrangement from her own children, have never hardened her heart.
 
 Instead, her own problems have caused empathy for others, evident since childhood, to deepen over the years. She has donated $100 million of her own money, mostly to individuals in trouble 
 through no fault of their own, often taking the time to call them personally to determine the best way to help. At 82, her goal is to give away her entire fortune, which remains substantial despite
  her generosity and the stock market crash of 2008.
 
 ""She identifies with the underdog,"" Warren says.",Link to Amazon,,"bipolar, foreclosure, losing my home","scholarship, abuse, bipolar, housing, prisoner"
6/17/10,Online Publication,"San Diego Union-Tribune,
  The (CA)","S.D.'s rich devoted to 
 enrichment - 
 Philanthropists embrace 
 call to share from Gates, 
 Buffett","San Diego Union-Tribune,
  The (CA): S.D.'s rich devoted to 
 enrichment - 
 Philanthropists embrace 
 call to share from Gates, 
 Buffett","Billionaires Bill Gates and Warren Buffett are famous for making money — and also for giving it away. And now the Microsoft co-founder and the renowned investor are asking other American billionaires to donate at least half of their fortunes to charity.
 
 That sounds like a grand idea to San Diego's well-heeled philanthropists, who say they plan to continue sharing their wealth throughout their lifetimes.
 
 ""If you give away half, you still have a lot left. It's like how much would you use before you die?"" said Madeleine Pickens, the millionaire wife of Texas oil tycoon T. Boone Pickens and a part-time Del Mar resident.",Link,,,"generic, more about the givers"
12/20/10,,Letter: Billionaires snookered,,"Letter: Billionaires snookered
 :","The two richest Americans, Warren Buffett and Bill Gates, have launched a project for the richest people in the country to give 50 percent or more of their fortune to charity. 
 This only proves you don't have to be smart to be a billionaire.
 The way rich people ""give back"" to society is by becoming rich in the first place, creating products and services that enrich other people's lives.",Artice link,,,need log in
6/19/12,Online publication,World Street Journal,"For Students: Wise
  Words From Warren Buffett","World Street Journal: For Students: Wise
  Words From Warren Buffett","Several times a year, Warren Buffett invites students from across the country to Omaha where they ply him with questions. Why does he do it?
 
 ""I'm training investors and managers,"" Mr. Buffett said an interview. ""If you're 22 or 23, you're forming ideas about what you want to do with your life.
  If I talked to a bunch of 60 year olds, they just want predictions and amusement."" He wants to help young people think about ""how they want to live their lives,"" he said, 
 and show them they can have fun doing what they like.",Article Link,,advice,"advice, entrepreneurship"
11/26/12,Online publication,US today,"“Buffett: Don’t worry, I’ll be fine”","US today: “Buffett: Don’t worry, I’ll be fine”","Billionaire investor Warren Buffett told shareholders of Berkshire Hathaway on Tuesday that he has prostate cancer but ""feels great"" and will continue to run the conglomerate during 
 treatments.In a letter to Berkshire investors, Buffett, 81, the chairman and CEO, said he has been diagnosed with early stage prostate cancer and that he will commence daily radiation 
 treatment in mid-July. Buffett, nicknamed the Oracle of Omaha for his investment prowess, stressed that his condition is treatable and is ""not remotely life-threatening or even debilitating in 
 any meaningful way."" The five-year survival rate for stage 1 prostate cancer is 100%, according to the American Cancer Society.
 Buffett's letter suggests he will continue to run Berkshire as he has for almost 50 years. His upcoming treatment would restrict Buffett's travel but would not otherwise change his normal work 
 schedule. Still, the statement got investors talking about the succession plan at Berkshire. At the annual meeting in February, Buffett said the board had identified the person to succeed him 
 as CEO, but the person was not identified. ""When a transfer of responsibility is required, it will be seamless, and Berkshire's prospects will remain bright,"" Buffett wrote in February in his letter
  to shareholders. Buffett also said there were two backup candidates.",Article,"I could not find the particlar 
 article on the web, but there are 
 simolar news at  abc news and the
 medi aexposure is on Apr 18, 2012",cancer,cancer
5/27/14,Online Publication,Telegraph Journal,"All in the family: Doris 
 buffett helps give away 
 brother warren's
 wealth to deserving people","Telegraph Journal: All in the family: Doris 
 buffett helps give away 
 brother warren's
 wealth to deserving people","Instead of tossing the letters aside, Buffett packages them up and sends them to his older sister Doris. With the help of seven women, her Sunshine Lady Foundation scrutinizes each 
 request to find people who have come upon bad luck through no fault of their own.",Columbia database,"Siilar article can be found in
 the Christian Science Monitor 
 which is interesting becuase 
 most of the letters are written 
 by religious (mostly Christian) 
 people",Similar article in a religious news site,"prisoner, scholarship"
8/14/16,Online Publication,Boston globe,"Wanted: Help handing o
 ut a fortune: Doris buffett 
 seeks fellow bostonians
  to assist her in deciding
  who really needs her
  brother's money","Boston globe: Wanted: Help handing o
 ut a fortune: Doris buffett 
 seeks fellow bostonians
  to assist her in deciding
  who really needs her
  brother's money","One consequence of being extremely wealthy is that strangers ask you for money — not just donation requests from countless charities, but pleas for financial help from individuals all 
 over the world.
 
 Each year, Buffett, the billionaire investor, receives thousands of letters from people asking whether he would pay their mortgages, medical bills, credit card debt, and more. Through a 
 unique sibling partnership, Buffett forwards the letters to his older sister, Doris, who decides which ones to fund. Over the past decade, at least 22,000 letters have crossed their collective
  desks, and they have given away more than $12 million.",Article Link,Regional distribution,"mortgage, credit card debt","housing, vehicle, prisoner"
8/14/16,,,,:,"Boston Globe article says that D Buffett, SLF needs help reading letters",8/14/16,,,
