District,TotalFilings,Chapter7,Chapter11,Chapter12,Chapter13,Business,NonBusiness,Year
 DC,712,358,18,0,336,36,676,2007
   1ST,29595,16930,282,27,12355,1193,28402,2007
 ME,2304,1819,15,6,464,152,2152,2007
 MA,13705,9061,143,4,4496,333,13372,2007
 NH,2983,2100,20,3,860,327,2656,2007
 RI,2817,2182,11,0,624,105,2712,2007
 PR,7786,1768,93,14,5911,276,7510,2007
   2ND,47304,33125,631,32,13484,1704,45600,2007
 CT,5890,4148,116,0,1626,264,5626,2007
" NY,N",11490,7290,42,24,4134,297,11193,2007
" NY,E",12731,9254,189,0,3288,380,12351,2007
" NY,S",7672,5786,242,0,1612,467,7205,2007
" NY,W",8626,6000,41,5,2580,231,8395,2007
 VT,895,647,1,3,244,65,830,2007
   3RD,51935,31725,869,18,19320,2195,49740,2007
 DE,2002,1012,223,1,763,306,1696,2007
 NJ,19948,12402,385,1,7160,864,19084,2007
" PA,E",9970,5165,77,0,4728,297,9673,2007
" PA,M",7713,4831,32,7,2843,211,7502,2007
" PA,W",12279,8300,149,9,3821,509,11770,2007
 VI,23,15,3,0,5,8,15,2007
   4TH,64704,33823,493,16,30371,1865,62839,2007
 MD,13733,7119,150,1,6463,380,13353,2007
" NC,E",7992,2954,60,3,4975,223,7769,2007
" NC,M",5940,2631,22,5,3282,187,5753,2007
" NC,W",5778,3188,48,0,2542,187,5591,2007
 SC,7291,2410,59,0,4821,144,7147,2007
" VA,E",13848,7927,101,4,5816,416,13432,2007
" VA,W",5630,3634,21,3,1972,178,5452,2007
" WV,N",1737,1512,8,0,217,84,1653,2007
" WV,S",2755,2448,24,0,283,66,2689,2007
   5TH,68425,28642,693,68,39021,3252,65173,2007
" LA,E",2781,1296,46,10,1429,127,2654,2007
" LA,M",1866,886,14,0,966,41,1825,2007
" LA,W",9630,2624,49,22,6935,342,9288,2007
" MS,N",4937,2226,23,4,2684,132,4805,2007
" MS,S",6280,2660,29,5,3585,130,6150,2007
" TX,N",15089,6172,201,3,8713,899,14190,2007
" TX,E",5985,3037,53,9,2886,383,5602,2007
" TX,S",12473,5104,168,12,7189,668,11805,2007
" TX,W",9384,4637,110,3,4634,530,8854,2007
   6TH,153663,93669,549,30,59415,3394,150269,2007
" KY,E",7687,5414,35,1,2237,168,7519,2007
" KY,W",9470,6664,21,1,2784,143,9327,2007
" MI,E",35690,24338,134,13,11205,790,34900,2007
" MI,W",10500,8652,33,4,1811,404,10096,2007
