FIPS,fyDeclared,incidentType,count
01000,2017,Hurricane,1
01000,2018,Hurricane,1
01000,2019,Hurricane,1
01000,2020,Biological,4
01000,2020,Hurricane,2
01000,2021,Biological,1
01001,2002,Severe Storm,1
01001,2004,Hurricane,1
01001,2005,Hurricane,2
01001,2008,Hurricane,1
01001,2009,Severe Storm,1
01001,2011,Severe Storm,2
01001,2016,Severe Storm,1
01001,2017,Hurricane,1
01001,2018,Hurricane,2
01001,2020,Biological,2
01001,2020,Hurricane,1
01001,2021,Hurricane,1
01001,2023,Severe Storm,1
01003,2003,Hurricane,1
01003,2003,Severe Storm,1
01003,2004,Hurricane,1
01003,2005,Hurricane,4
01003,2008,Hurricane,2
01003,2008,Severe Storm,1
01003,2009,Severe Storm,1
01003,2010,Hurricane,1
01003,2011,Severe Storm,2
01003,2012,Hurricane,1
01003,2014,Severe Storm,1
01003,2017,Hurricane,1
01003,2018,Hurricane,2
01003,2019,Hurricane,1
01003,2020,Biological,2
01003,2020,Hurricane,2
01005,2003,Severe Storm,2
01005,2004,Hurricane,1
01005,2005,Hurricane,2
01005,2008,Hurricane,1
01005,2010,Severe Storm,1
01005,2011,Severe Storm,2
01005,2016,Severe Storm,1
01005,2017,Hurricane,1
01005,2018,Hurricane,1
01005,2019,Hurricane,1
01005,2020,Biological,2
01005,2020,Hurricane,2
01005,2020,Severe Storm,1
01005,2023,Severe Storm,1
01007,2003,Severe Storm,2
01007,2004,Hurricane,1
01007,2005,Hurricane,3
01007,2008,Hurricane,1
01007,2011,Severe Storm,2
01007,2017,Hurricane,1
01007,2018,Hurricane,1
01007,2020,Biological,2
01007,2020,Hurricane,1
01007,2021,Severe Storm,1
01009,2001,Severe Storm,1
01009,2002,Severe Storm,1
01009,2003,Severe Storm,2
01009,2004,Hurricane,1
01009,2005,Hurricane,1
01009,2008,Hurricane,1
01009,2011,Severe Storm,2
01009,2014,Severe Storm,1
01009,2016,Severe Storm,1
01009,2017,Hurricane,1
01009,2019,Severe Storm,1
01009,2020,Biological,2
01009,2020,Severe Storm,2
01009,2020,Hurricane,1
01011,2003,Severe Storm,1
01011,2004,Hurricane,1
01011,2005,Hurricane,2
01011,2008,Hurricane,1
01011,2009,Severe Storm,2
01011,2011,Severe Storm,2
01011,2014,Severe Storm,1
01011,2016,Severe Storm,1
01011,2017,Hurricane,1
01011,2018,Hurricane,1
01011,2019,Hurricane,1
01011,2020,Biological,2
01011,2020,Hurricane,1
01013,2002,Severe Storm,1
01013,2004,Hurricane,1
01013,2005,Hurricane,2
01013,2008,Hurricane,1
01013,2009,Severe Storm,1
01013,2010,Severe Storm,1
01013,2011,Severe Storm,2
01013,2014,Severe Storm,1
01013,2016,Severe Storm,1
01013,2017,Hurricane,1
01013,2018,Hurricane,1
01013,2019,Hurricane,1
01013,2020,Biological,2
01013,2020,Hurricane,2
01013,2020,Severe Storm,1
01013,2021,Hurricane,1
01015,2002,Severe Storm,1
01015,2003,Severe Storm,2
01015,2004,Hurricane,1
01015,2005,Hurricane,1
01015,2008,Hurricane,1
01015,2011,Severe Storm,2
01015,2017,Hurricane,1
01015,2018,Severe Storm,1
01015,2020,Biological,2
01015,2020,Hurricane,1
01015,2021,Hurricane,1
01015,2021,Severe Storm,1
01017,2003,Severe Storm,1
01017,2004,Hurricane,1
01017,2005,Hurricane,2
01017,2008,Hurricane,1
01017,2011,Severe Storm,2
01017,2016,Severe Storm,1
01017,2017,Hurricane,1
01017,2020,Biological,2
01017,2020,Hurricane,1
01017,2020,Severe Storm,1
01017,2023,Severe Storm,2
01019,2000,Severe Storm,1
01019,2001,Severe Storm,1
01019,2002,Fire,1
01019,2002,Severe Storm,1
01019,2003,Severe Storm,2
01019,2004,Hurricane,1
01019,2005,Hurricane,1
01019,2008,Hurricane,1
01019,2011,Severe Storm,2
01019,2016,Severe Storm,1
01019,2017,Hurricane,1
01019,2019,Severe Storm,1
01019,2020,Biological,2
01019,2020,Hurricane,1
01019,2021,Hurricane,1
01021,2004,Hurricane,1
01021,2005,Hurricane,2
01021,2008,Hurricane,1
01021,2010,Severe Storm,1
01021,2011,Severe Storm,2
01021,2012,Severe Storm,1
01021,2017,Hurricane,1
01021,2018,Hurricane,1
01021,2020,Biological,2
01021,2020,Hurricane,1
01021,2020,Severe Storm,1
01021,2021,Hurricane,1
01023,2004,Hurricane,1
01023,2005,Hurricane,4
01023,2008,Hurricane,1
01023,2009,Severe Storm,1
01023,2011,Severe Storm,2
01023,2017,Hurricane,1
01023,2018,Hurricane,2
01023,2020,Biological,2
01023,2020,Hurricane,1
01023,2020,Severe Storm,1
01023,2021,Hurricane,1
01025,2003,Severe Storm,1
01025,2004,Hurricane,1
01025,2005,Hurricane,4
01025,2008,Hurricane,1
01025,2009,Severe Storm,1
01025,2010,Severe Storm,1
01025,2011,Severe Storm,2
01025,2017,Hurricane,1
01025,2018,Hurricane,2
01025,2020,Biological,2
01025,2020,Hurricane,2
01025,2021,Hurricane,1
01027,2002,Severe Storm,1
01027,2003,Severe Storm,1
01027,2004,Hurricane,1
01027,2005,Hurricane,2
01027,2008,Hurricane,1
01027,2011,Severe Storm,2
01027,2016,Severe Storm,1
01027,2017,Hurricane,1
01027,2020,Biological,2
01027,2020,Hurricane,1
01027,2021,Hurricane,1
01027,2021,Severe Storm,1
01029,2003,Severe Storm,2
01029,2004,Hurricane,1
01029,2005,Hurricane,2
01029,2008,Hurricane,1
01029,2011,Severe Storm,2
01029,2016,Severe Storm,1
01029,2017,Hurricane,1
01029,2020,Biological,2
01029,2020,Hurricane,1
01031,2004,Hurricane,1
01031,2005,Hurricane,2
01031,2007,Severe Storm,1
01031,2008,Hurricane,1
01031,2009,Severe Storm,1
01031,2010,Severe Storm,1
01031,2011,Severe Storm,2
01031,2016,Severe Storm,1
01031,2017,Hurricane,1
01031,2018,Hurricane,1
01031,2019,Hurricane,1
01031,2020,Biological,2
01031,2020,Hurricane,2
01031,2020,Severe Storm,1
01033,2003,Severe Storm,1
01033,2004,Hurricane,1
01033,2005,Hurricane,2
01033,2008,Hurricane,1
01033,2011,Severe Storm,2
01033,2016,Severe Storm,1
01033,2017,Hurricane,1
01033,2019,Severe Storm,1
01033,2020,Biological,2
01033,2020,Hurricane,1
01033,2020,Severe Storm,1
01033,2023,Severe Storm,1
01035,2004,Hurricane,1
01035,2005,Hurricane,2
01035,2008,Hurricane,1
01035,2010,Severe Storm,1
01035,2011,Severe Storm,2
01035,2016,Severe Storm,1
01035,2017,Hurricane,1
01035,2018,Hurricane,1
01035,2019,Hurricane,1
01035,2020,Biological,2
01035,2020,Hurricane,2
01035,2023,Severe Storm,1
01037,2003,Severe Storm,1
01037,2004,Hurricane,1
01037,2005,Hurricane,2
01037,2008,Hurricane,1
01037,2011,Severe Storm,2
01037,2017,Hurricane,1
01037,2018,Hurricane,1
01037,2020,Biological,2
01037,2020,Hurricane,1
01037,2020,Severe Storm,1
01037,2021,Hurricane,1
01037,2023,Severe Storm,2
01039,2004,Hurricane,1
01039,2005,Hurricane,2
01039,2008,Hurricane,1
01039,2009,Severe Storm,1
01039,2010,Severe Storm,1
01039,2011,Severe Storm,2
01039,2012,Hurricane,1
01039,2014,Severe Storm,1
01039,2016,Severe Storm,1
01039,2017,Hurricane,1
01039,2018,Hurricane,1
01039,2019,Hurricane,1
01039,2020,Biological,2
01039,2020,Hurricane,2
01039,2020,Severe Storm,2
01041,2004,Hurricane,1
01041,2005,Hurricane,2
01041,2008,Hurricane,1
01041,2009,Severe Storm,1
01041,2010,Severe Storm,1
01041,2011,Severe Storm,2
01041,2014,Severe Storm,1
01041,2016,Severe Storm,1
01041,2017,Hurricane,1
01041,2018,Hurricane,1
01041,2019,Hurricane,1
01041,2020,Biological,2
01041,2020,Hurricane,2
01041,2020,Severe Storm,2
01043,2003,Severe Storm,2
01043,2004,Hurricane,1
01043,2005,Hurricane,2
01043,2008,Hurricane,1
01043,2009,Severe Storm,1
01043,2011,Severe Storm,2
01043,2016,Severe Storm,1
01043,2017,Hurricane,1
01043,2018,Severe Storm,1
01043,2020,Biological,2
01043,2020,Severe Storm,2
01043,2020,Hurricane,1
01045,2001,Severe Storm,1
01045,2002,Severe Storm,1
01045,2003,Severe Storm,1
01045,2004,Hurricane,1
01045,2005,Hurricane,2
01045,2007,Severe Storm,1
01045,2008,Hurricane,1
01045,2009,Severe Storm,1
01045,2010,Severe Storm,1
01045,2011,Severe Storm,2
01045,2014,Severe Storm,1
01045,2016,Severe Storm,1
01045,2017,Hurricane,1
01045,2018,Hurricane,1
01045,2019,Hurricane,2
01045,2020,Biological,2
01045,2020,Hurricane,1
01045,2020,Severe Storm,1
01047,2004,Hurricane,1
01047,2005,Hurricane,2
01047,2007,Severe Storm,1
01047,2008,Hurricane,1
