Year,FIPS,County,Lower Bound of Estimated Age-adjusted Death Rate,Upper Bound of Estimated Age-adjusted Death Rate
2012,08014,"Broomfield County, CO",12.1,14
2013,41069,"Wheeler County, OR",14.1,16
2015,09011,"New London County, CT",18.1,20
2012,36117,"Wayne County, NY",4.1,6
2015,48263,"Kent County, TX",4.1,6
2013,04012,"La Paz County, AZ",>30,
2011,26073,"Isabella County, MI",8.1,10
2006,05011,"Bradley County, AR",2.1,4
2012,27113,"Pennington County, MN",10.1,12
2014,13291,"Union County, GA",18.1,20
2011,13295,"Walker County, GA",14.1,16
1999,01077,"Lauderdale County, AL",2.1,4
2015,46033,"Custer County, SD",16.1,18
2007,08091,"Ouray County, CO",6.1,8
2014,27033,"Cottonwood County, MN",10.1,12
2014,46105,"Perkins County, SD",14.1,16
2012,38055,"McLean County, ND",6.1,8
2011,30035,"Glacier County, MT",18.1,20
2014,21141,"Logan County, KY",14.1,16
2015,49043,"Summit County, UT",14.1,16
2010,13121,"Fulton County, GA",10.1,12
2010,45085,"Sumter County, SC",4.1,6
2010,19153,"Polk County, IA",8.1,10
2005,21115,"Johnson County, KY",22.1,24
2014,21019,"Boyd County, KY",>30,
2007,06099,"Stanislaus County, CA",12.1,14
2013,17123,"Marshall County, IL",10.1,12
2011,51157,"Rappahannock County, VA",14.1,16
2013,42017,"Bucks County, PA",18.1,20
2008,08045,"Garfield County, CO",8.1,10
2004,20049,"Elk County, KS",4.1,6
2014,34003,"Bergen County, NJ",8.1,10
2015,13133,"Greene County, GA",10.1,12
2010,05125,"Saline County, AR",10.1,12
2010,38103,"Wells County, ND",0,2
2003,05137,"Stone County, AR",6.1,8
2010,13209,"Montgomery County, GA",8.1,10
2000,20181,"Sherman County, KS",2.1,4
2013,55133,"Waukesha County, WI",10.1,12
2010,33015,"Rockingham County, NH",10.1,12
2003,21187,"Owen County, KY",8.1,10
2014,05015,"Carroll County, AR",20.1,22
2008,47095,"Lake County, TN",6.1,8
2011,37089,"Henderson County, NC",18.1,20
2014,51159,"Richmond County, VA",12.1,14
2015,01109,"Pike County, AL",8.1,10
2008,01033,"Colbert County, AL",4.1,6
2012,13321,"Worth County, GA",8.1,10
2015,39033,"Crawford County, OH",18.1,20
2012,31061,"Franklin County, NE",4.1,6
2012,08061,"Kiowa County, CO",8.1,10
2007,02290,"Yukon-Koyukuk Census Area, AK",8.1,10
2014,34005,"Burlington County, NJ",14.1,16
2014,36097,"Schuyler County, NY",8.1,10
2011,34025,"Monmouth County, NJ",10.1,12
2013,45003,"Aiken County, SC",16.1,18
2009,30051,"Liberty County, MT",2.1,4
2015,46043,"Douglas County, SD",2.1,4
2002,05147,"Woodruff County, AR",4.1,6
1999,21109,"Jackson County, KY",4.1,6
2000,05071,"Johnson County, AR",4.1,6
2010,39147,"Seneca County, OH",6.1,8
2012,29127,"Marion County, MO",14.1,16
2004,06105,"Trinity County, CA",8.1,10
2014,21095,"Harlan County, KY",>30,
2009,51720,"Norton city, VA",24.1,26
2013,01017,"Chambers County, AL",10.1,12
2015,29027,"Callaway County, MO",16.1,18
2015,36075,"Oswego County, NY",8.1,10
2014,48121,"Denton County, TX",8.1,10
2008,27079,"Le Sueur County, MN",2.1,4
2008,48105,"Crockett County, TX",4.1,6
2013,42095,"Northampton County, PA",12.1,14
2014,29067,"Douglas County, MO",12.1,14
2009,29023,"Butler County, MO",16.1,18
2014,42009,"Bedford County, PA",16.1,18
2012,37055,"Dare County, NC",20.1,22
2003,09013,"Tolland County, CT",6.1,8
2010,27169,"Winona County, MN",8.1,10
2010,26001,"Alcona County, MI",16.1,18
2015,40043,"Dewey County, OK",20.1,22
2015,29211,"Sullivan County, MO",14.1,16
2011,48133,"Eastland County, TX",8.1,10
2013,20195,"Trego County, KS",12.1,14
2015,53041,"Lewis County, WA",22.1,24
2012,46083,"Lincoln County, SD",2.1,4
2013,48293,"Limestone County, TX",10.1,12
2015,46063,"Harding County, SD",2.1,4
2012,13177,"Lee County, GA",6.1,8
2014,45049,"Hampton County, SC",8.1,10
2011,32021,"Mineral County, NV",28.1,30
2012,08117,"Summit County, CO",10.1,12
2014,13021,"Bibb County, GA",12.1,14
2010,01007,"Bibb County, AL",8.1,10
2015,22023,"Cameron Parish, LA",22.1,24
2008,12067,"Lafayette County, FL",10.1,12
2010,54045,"Logan County, WV",>30,
2010,40077,"Latimer County, OK",20.1,22
2014,49053,"Washington County, UT",22.1,24
2012,21221,"Trigg County, KY",12.1,14
2003,16013,"Blaine County, ID",2.1,4
2014,48195,"Hansford County, TX",12.1,14
2013,09005,"Litchfield County, CT",16.1,18
2015,12075,"Levy County, FL",22.1,24
2014,48145,"Falls County, TX",12.1,14
2012,34027,"Morris County, NJ",8.1,10
2014,48079,"Cochran County, TX",16.1,18
2002,20013,"Brown County, KS",2.1,4
2012,39099,"Mahoning County, OH",16.1,18
2011,51570,"Colonial Heights city, VA",12.1,14
2015,49021,"Iron County, UT",20.1,22
2012,01109,"Pike County, AL",6.1,8
2007,08107,"Routt County, CO",4.1,6
2014,33007,"Coos County, NH",18.1,20
2012,20097,"Kiowa County, KS",4.1,6
2008,35017,"Grant County, NM",20.1,22
2014,12117,"Seminole County, FL",16.1,18
2014,18001,"Adams County, IN",10.1,12
2004,01037,"Coosa County, AL",4.1,6
2015,17113,"McLean County, IL",10.1,12
2014,51025,"Brunswick County, VA",6.1,8
2010,30009,"Carbon County, MT",12.1,14
2012,37001,"Alamance County, NC",12.1,14
1999,06033,"Lake County, CA",18.1,20
2012,47049,"Fentress County, TN",26.1,28
2015,37101,"Johnston County, NC",10.1,12
2014,46051,"Grant County, SD",8.1,10
2012,28071,"Lafayette County, MS",8.1,10
2015,40105,"Nowata County, OK",18.1,20
2006,08071,"Las Animas County, CO",16.1,18
2011,39083,"Knox County, OH",8.1,10
2006,48463,"Uvalde County, TX",2.1,4
2011,26143,"Roscommon County, MI",20.1,22
2005,21053,"Clinton County, KY",22.1,24
2008,05049,"Fulton County, AR",14.1,16
2013,35017,"Grant County, NM",26.1,28
2010,47075,"Haywood County, TN",8.1,10
2014,35049,"Santa Fe County, NM",>30,
2013,31103,"Keya Paha County, NE",0,2
2015,20041,"Dickinson County, KS",8.1,10
2011,06083,"Santa Barbara County, CA",12.1,14
2007,01001,"Autauga County, AL",6.1,8
2010,51193,"Westmoreland County, VA",12.1,14
2007,49041,"Sevier County, UT",12.1,14
2012,38087,"Slope County, ND",0,2
2007,01011,"Bullock County, AL",2.1,4
1999,09015,"Windham County, CT",6.1,8
2010,48105,"Crockett County, TX",6.1,8
2013,39013,"Belmont County, OH",12.1,14
2006,13125,"Glascock County, GA",4.1,6
2012,48499,"Wood County, TX",14.1,16
2010,27067,"Kandiyohi County, MN",4.1,6
2015,51181,"Surry County, VA",14.1,16
2015,39091,"Logan County, OH",14.1,16
2003,08025,"Crowley County, CO",4.1,6
2011,39025,"Clermont County, OH",16.1,18
2002,47051,"Franklin County, TN",8.1,10
2012,46069,"Hyde County, SD",0,2
2010,06087,"Santa Cruz County, CA",12.1,14
2009,21119,"Knott County, KY",>30,
2015,13267,"Tattnall County, GA",14.1,16
2005,32033,"White Pine County, NV",14.1,16
2011,26035,"Clare County, MI",18.1,20
2013,25025,"Suffolk County, MA",20.1,22
2011,51121,"Montgomery County, VA",10.1,12
2011,48241,"Jasper County, TX",12.1,14
2015,41039,"Lane County, OR",20.1,22
2004,25017,"Middlesex County, MA",8.1,10
2015,13033,"Burke County, GA",8.1,10
2000,06105,"Trinity County, CA",6.1,8
2002,47183,"Weakley County, TN",6.1,8
2012,37041,"Chowan County, NC",10.1,12
2015,21223,"Trimble County, KY",20.1,22
2010,47125,"Montgomery County, TN",10.1,12
2013,28149,"Warren County, MS",8.1,10
2011,29057,"Dade County, MO",12.1,14
2014,53071,"Walla Walla County, WA",14.1,16
2011,29167,"Polk County, MO",14.1,16
2012,46047,"Fall River County, SD",24.1,26
2011,37165,"Scotland County, NC",12.1,14
2009,02016,"Aleutians West Census Area, AK",10.1,12
2001,19195,"Worth County, IA",0,2
2015,20067,"Grant County, KS",4.1,6
1999,01003,"Baldwin County, AL",6.1,8
2010,29229,"Wright County, MO",6.1,8
2007,49025,"Kane County, UT",14.1,16
2011,20187,"Stanton County, KS",4.1,6
1999,39083,"Knox County, OH",4.1,6
2011,53053,"Pierce County, WA",16.1,18
2011,22083,"Richland Parish, LA",2.1,4
2011,08001,"Adams County, CO",16.1,18
2012,21173,"Montgomery County, KY",16.1,18
2015,49007,"Carbon County, UT",>30,
2012,31089,"Holt County, NE",2.1,4
2015,46027,"Clay County, SD",4.1,6
2008,01027,"Clay County, AL",4.1,6
1999,17023,"Clark County, IL",4.1,6
2014,27135,"Roseau County, MN",6.1,8
2008,08031,"Denver County, CO",20.1,22
2011,45013,"Beaufort County, SC",6.1,8
2012,12023,"Columbia County, FL",16.1,18
2008,54099,"Wayne County, WV",18.1,20
2013,01065,"Hale County, AL",4.1,6
2011,28157,"Wilkinson County, MS",4.1,6
2012,53037,"Kittitas County, WA",8.1,10
2011,55113,"Sawyer County, WI",10.1,12
2011,51173,"Smyth County, VA",14.1,16
2006,01131,"Wilcox County, AL",2.1,4
2013,21117,"Kenton County, KY",28.1,30
2015,16075,"Payette County, ID",16.1,18
2010,54057,"Mineral County, WV",14.1,16
2010,17163,"St. Clair County, IL",8.1,10
2014,19187,"Webster County, IA",10.1,12
2012,46045,"Edmunds County, SD",2.1,4
2004,26099,"Macomb County, MI",12.1,14
2001,08001,"Adams County, CO",10.1,12
2009,55077,"Marquette County, WI",10.1,12
2014,12041,"Gilchrist County, FL",18.1,20
2015,37081,"Guilford County, NC",12.1,14
2013,13303,"Washington County, GA",10.1,12
2012,27145,"Stearns County, MN",6.1,8
2011,40147,"Washington County, OK",12.1,14
2001,08063,"Kit Carson County, CO",2.1,4
2012,04012,"La Paz County, AZ",28.1,30
2009,27169,"Winona County, MN",6.1,8
2012,05069,"Jefferson County, AR",6.1,8
2013,20153,"Rawlins County, KS",0,2
2004,29019,"Boone County, MO",6.1,8
2015,05119,"Pulaski County, AR",14.1,16
2012,04003,"Cochise County, AZ",16.1,18
2008,13133,"Greene County, GA",6.1,8
2014,46043,"Douglas County, SD",0,2
2007,19131,"Mitchell County, IA",0,2
2003,06099,"Stanislaus County, CA",10.1,12
2014,35001,"Bernalillo County, NM",>30,
2015,28085,"Lincoln County, MS",8.1,10
2004,06055,"Napa County, CA",4.1,6
2013,21171,"Monroe County, KY",22.1,24
2008,56011,"Crook County, WY",4.1,6
2012,47065,"Hamilton County, TN",14.1,16
2011,13043,"Candler County, GA",10.1,12
2012,17085,"Jo Daviess County, IL",8.1,10
2012,47011,"Bradley County, TN",14.1,16
2012,22125,"West Feliciana Parish, LA",8.1,10
2013,55097,"Portage County, WI",6.1,8
2002,20185,"Stafford County, KS",0,2
2003,21197,"Powell County, KY",26.1,28
2007,08039,"Elbert County, CO",6.1,8
2012,06073,"San Diego County, CA",12.1,14
2012,45063,"Lexington County, SC",12.1,14
2014,45003,"Aiken County, SC",16.1,18
2007,29013,"Bates County, MO",10.1,12
2012,21079,"Garrard County, KY",16.1,18
2000,51750,"Radford city, VA",6.1,8
2011,53063,"Spokane County, WA",20.1,22
2014,29001,"Adair County, MO",14.1,16
2001,05071,"Johnson County, AR",4.1,6
2011,39035,"Cuyahoga County, OH",14.1,16
2015,37155,"Robeson County, NC",12.1,14
2007,42101,"Philadelphia County, PA",22.1,24
2009,13111,"Fannin County, GA",20.1,22
2007,30105,"Valley County, MT",2.1,4
2004,41051,"Multnomah County, OR",10.1,12
2013,39057,"Greene County, OH",18.1,20
2004,02170,"Matanuska-Susitna Borough, AK",10.1,12
2010,01073,"Jefferson County, AL",12.1,14
2015,32019,"Lyon County, NV",16.1,18
2012,26103,"Marquette County, MI",12.1,14
2004,17009,"Brown County, IL",0,2
2010,47083,"Houston County, TN",18.1,20
2014,01113,"Russell County, AL",12.1,14
1999,13163,"Jefferson County, GA",2.1,4
2006,36109,"Tompkins County, NY",4.1,6
2013,55139,"Winnebago County, WI",10.1,12
2014,22121,"West Baton Rouge Parish, LA",16.1,18
2011,23007,"Franklin County, ME",8.1,10
2011,12017,"Citrus County, FL",24.1,26
2003,05031,"Craighead County, AR",8.1,10
2008,05013,"Calhoun County, AR",8.1,10
1999,24047,"Worcester County, MD",8.1,10
2015,47031,"Coffee County, TN",20.1,22
2003,41011,"Coos County, OR",6.1,8
2000,05021,"Clay County, AR",2.1,4
2013,30111,"Yellowstone County, MT",14.1,16
2000,37005,"Alleghany County, NC",6.1,8
2006,53069,"Wahkiakum County, WA",6.1,8
2014,36025,"Delaware County, NY",10.1,12
2015,51810,"Virginia Beach city, VA",12.1,14
1999,47065,"Hamilton County, TN",6.1,8
1999,04005,"Coconino County, AZ",6.1,8
2010,21223,"Trimble County, KY",12.1,14
2015,28037,"Franklin County, MS",18.1,20
2012,19041,"Clay County, IA",4.1,6
2010,21015,"Boone County, KY",14.1,16
2011,56045,"Weston County, WY",12.1,14
2015,51017,"Bath County, VA",12.1,14
2011,51019,"Bedford County, VA",10.1,12
2009,09003,"Hartford County, CT",12.1,14
2006,08101,"Pueblo County, CO",14.1,16
2008,38025,"Dunn County, ND",2.1,4
2010,48151,"Fisher County, TX",2.1,4
2010,13153,"Houston County, GA",6.1,8
2001,13103,"Effingham County, GA",2.1,4
2014,26063,"Huron County, MI",8.1,10
2011,26145,"Saginaw County, MI",12.1,14
2015,55095,"Polk County, WI",6.1,8
2015,26009,"Antrim County, MI",16.1,18
2007,31169,"Thayer County, NE",2.1,4
2015,41021,"Gilliam County, OR",4.1,6
2014,22059,"La Salle Parish, LA",20.1,22
2015,48479,"Webb County, TX",8.1,10
2011,36077,"Otsego County, NY",6.1,8
2006,34021,"Mercer County, NJ",6.1,8
2015,49025,"Kane County, UT",>30,
2013,48415,"Scurry County, TX",10.1,12
2011,01125,"Tuscaloosa County, AL",10.1,12
2014,27045,"Fillmore County, MN",6.1,8
2010,27105,"Nobles County, MN",2.1,4
2003,12081,"Manatee County, FL",14.1,16
2014,37195,"Wilson County, NC",8.1,10
2010,05145,"White County, AR",8.1,10
2013,13187,"Lumpkin County, GA",12.1,14
2015,28133,"Sunflower County, MS",4.1,6
2014,21063,"Elliott County, KY",28.1,30
2009,29053,"Cooper County, MO",6.1,8
2013,48311,"McMullen County, TX",0,2
2014,20147,"Phillips County, KS",2.1,4
2012,19151,"Pocahontas County, IA",4.1,6
2004,01093,"Marion County, AL",2.1,4
2003,47109,"McNairy County, TN",10.1,12
2014,06039,"Madera County, CA",12.1,14
2013,20163,"Rooks County, KS",8.1,10
2014,45001,"Abbeville County, SC",8.1,10
2014,19067,"Floyd County, IA",6.1,8
2003,33017,"Strafford County, NH",8.1,10
2015,20057,"Ford County, KS",6.1,8
2006,06057,"Nevada County, CA",10.1,12
2014,47091,"Johnson County, TN",14.1,16
2014,48411,"San Saba County, TX",14.1,16
2014,53053,"Pierce County, WA",18.1,20
2010,19167,"Sioux County, IA",0,2
2015,37007,"Anson County, NC",10.1,12
2004,19165,"Shelby County, IA",0,2
2015,42133,"York County, PA",14.1,16
2005,18107,"Montgomery County, IN",8.1,10
2015,36045,"Jefferson County, NY",8.1,10
2011,41063,"Wallowa County, OR",6.1,8
2014,37013,"Beaufort County, NC",12.1,14
2012,01031,"Coffee County, AL",6.1,8
2014,42041,"Cumberland County, PA",8.1,10
2010,13125,"Glascock County, GA",10.1,12
2008,47071,"Hardin County, TN",20.1,22
2014,17047,"Edwards County, IL",18.1,20
2002,01069,"Houston County, AL",4.1,6
2011,36091,"Saratoga County, NY",4.1,6
2011,18135,"Randolph County, IN",10.1,12
2008,54103,"Wetzel County, WV",10.1,12
2015,20097,"Kiowa County, KS",8.1,10
2015,40081,"Lincoln County, OK",20.1,22
2015,47121,"Meigs County, TN",26.1,28
2004,18025,"Crawford County, IN",6.1,8
2013,26077,"Kalamazoo County, MI",12.1,14
2001,48459,"Upshur County, TX",4.1,6
2013,20139,"Osage County, KS",14.1,16
2013,47109,"McNairy County, TN",18.1,20
2013,48427,"Starr County, TX",2.1,4
2013,01057,"Fayette County, AL",14.1,16
2013,13011,"Banks County, GA",16.1,18
2011,54079,"Putnam County, WV",14.1,16
1999,51193,"Westmoreland County, VA",4.1,6
2010,48129,"Donley County, TX",6.1,8
2003,02180,"Nome Census Area, AK",4.1,6
2003,48161,"Freestone County, TX",2.1,4
2010,26141,"Presque Isle County, MI",14.1,16
2004,21197,"Powell County, KY",28.1,30
2015,48219,"Hockley County, TX",12.1,14
2011,29031,"Cape Girardeau County, MO",10.1,12
2015,45005,"Allendale County, SC",8.1,10
2012,41021,"Gilliam County, OR",2.1,4
2014,31159,"Seward County, NE",6.1,8
2015,21175,"Morgan County, KY",18.1,20
2013,48223,"Hopkins County, TX",10.1,12
2000,08009,"Baca County, CO",2.1,4
