Year,FIPS,Name,Poverty Percent All Ages,Median Household Income
2005,00000,United States,13.3,46242
2005,01000,Alabama,16.9,36936
2005,01001,Autauga County,10.4,45019
2005,01003,Baldwin County,11.4,42804
2005,01005,Barbour County,22.4,29534
2005,01007,Bibb County,16.6,34212
2005,01009,Blount County,11.4,40588
2005,01011,Bullock County,38.2,21728
2005,01013,Butler County,23.1,28058
2005,01015,Calhoun County,16.9,35937
2005,01017,Chambers County,16.2,31538
2005,01019,Cherokee County,16.2,33858
2005,01021,Chilton County,16.1,36098
2005,01023,Choctaw County,24.4,27512
2005,01025,Clarke County,20.9,29531
2005,01027,Clay County,15.8,33512
2005,01029,Cleburne County,15.5,34287
2005,01031,Coffee County,15.1,37025
2005,01033,Colbert County,15.7,35590
2005,01035,Conecuh County,27.7,24587
2005,01037,Coosa County,18.7,31142
2005,01039,Covington County,18.4,30847
2005,01041,Crenshaw County,23.5,29410
2005,01043,Cullman County,14.7,36693
2005,01045,Dale County,16,36422
2005,01047,Dallas County,34.9,24936
2005,01049,DeKalb County,19.4,31501
2005,01051,Elmore County,13.1,45474
2005,01053,Escambia County,22.2,30600
2005,01055,Etowah County,15.8,32973
2005,01057,Fayette County,17.9,31720
2005,01059,Franklin County,19.5,29698
2005,01061,Geneva County,20.3,29492
2005,01063,Greene County,33.9,22436
2005,01065,Hale County,30.4,27535
2005,01067,Henry County,17.6,33191
2005,01069,Houston County,14.9,37947
2005,01071,Jackson County,18.8,32208
2005,01073,Jefferson County,15.7,41821
2005,01075,Lamar County,17,30373
2005,01077,Lauderdale County,18.5,33448
2005,01079,Lawrence County,16,37871
2005,01081,Lee County,20.6,35320
2005,01083,Limestone County,13,40745
2005,01085,Lowndes County,29.5,25590
2005,01087,Macon County,32,23500
2005,01089,Madison County,10.3,50522
2005,01091,Marengo County,25.2,29635
2005,01093,Marion County,18.4,29800
2005,01095,Marshall County,18.7,34668
2005,01097,Mobile County,20,36143
2005,01099,Monroe County,22.3,30964
2005,01101,Montgomery County,17.4,39749
2005,01103,Morgan County,14,41339
2005,01105,Perry County,34.9,22109
2005,01107,Pickens County,23.3,28578
2005,01109,Pike County,28.6,27581
2005,01111,Randolph County,19.2,32974
2005,01113,Russell County,20,30155
2005,01115,St. Clair County,13.2,45416
2005,01117,Shelby County,6.3,61563
2005,01119,Sumter County,36.6,21252
2005,01121,Talladega County,19.3,33986
2005,01123,Tallapoosa County,18.2,32672
2005,01125,Tuscaloosa County,20.4,34459
2005,01127,Walker County,15.6,33666
2005,01129,Washington County,20.2,33001
2005,01131,Wilcox County,37.8,19407
2005,01133,Winston County,21.8,29320
2005,02000,Alaska,10.8,55477
2005,02013,Aleutians East Borough,16.8,47177
2005,02016,Aleutians West Census Area,9.2,60138
2005,02020,Anchorage Borough,9.2,61018
2005,02050,Bethel Census Area,20,45504
2005,02060,Bristol Bay Borough,9.1,58017
2005,02068,Denali Borough,6.6,58019
2005,02070,Dillingham Census Area,22.7,43991
2005,02090,Fairbanks North Star Borough,8.9,55408
2005,02100,Haines Borough,11.9,41981
2005,02110,Juneau Borough,7.3,67614
2005,02122,Kenai Peninsula Borough,11.2,48373
2005,02130,Ketchikan Gateway Borough,9.3,53152
2005,02150,Kodiak Island Borough,8.6,54933
2005,02164,Lake and Peninsula Borough,20.6,34806
2005,02170,Matanuska-Susitna Borough,11.3,57134
2005,02180,Nome Census Area,21.7,42623
2005,02185,North Slope Borough,12.7,62760
2005,02188,Northwest Arctic Borough,20.6,48280
2005,02201,Prince of Wales-Outer Ketchikan Census Area,15.6,39247
2005,02220,Sitka Borough,8.2,54499
